index	 x	 y	 px	 py
250	 13.551693	 10.467299	 13.404042	 10.493741	
251	 12.379996	 13.854495	 12.279264	 13.760052	
252	 4.173266	 5.672706	 4.268218	 5.788827	
253	 4.106085	 5.538591	 4.173266	 5.672706	
254	 3.999899	 5.432645	 4.106085	 5.538591	
255	 3.953637	 5.289958	 3.999899	 5.432645	
256	 8.520752	 10.538995	 8.440968	 10.411973	
257	 9.267317	 4.611343	 9.225260	 4.715711	
258	 6.674060	 8.740460	 6.604221	 8.873210	
259	 8.914222	 4.695123	 9.068068	 4.680412	
260	 9.340067	 4.480166	 9.267317	 4.611343	
261	 3.662268	 8.217566	 3.801806	 8.272604	
262	 8.471913	 13.210391	 8.558093	 13.087619	
263	 3.512953	 8.231882	 3.662268	 8.217566	
264	 4.188342	 9.185878	 4.242054	 9.045824	
265	 13.701669	 10.469995	 13.551693	 10.467299	
266	 8.826057	 4.573768	 8.914222	 4.695123	
267	 12.461231	 13.648890	 12.390749	 13.516480	
268	 12.460560	 11.347896	 12.454115	 11.497757	
269	 13.763538	 10.333349	 13.701669	 10.469995	
270	 3.861115	 5.171891	 3.953637	 5.289958	
271	 3.885957	 5.023962	 3.836840	 5.090835	
272	 12.517717	 13.913933	 12.379996	 13.854495	
273	 8.713319	 4.474824	 8.826057	 4.573768	
274	 12.648802	 13.986849	 12.517717	 13.913933	
275	 9.032840	 9.389070	 8.878012	 9.378935	
276	 4.252694	 9.321372	 4.378178	 9.239191	
277	 9.349539	 4.330465	 9.340067	 4.480166	
278	 13.841767	 10.205364	 13.763538	 10.333349	
279	 3.752591	 8.456272	 3.775068	 8.461321	
280	 8.570964	 4.522100	 8.713319	 4.474824	
281	 12.407877	 11.207452	 12.460560	 11.347896	
282	 8.424747	 4.488627	 8.520082	 4.451292	
283	 13.984529	 10.159330	 13.841767	 10.205364	
284	 8.765769	 13.091248	 8.669190	 12.984882	
285	 3.969841	 4.899610	 3.927507	 4.920423	
286	 3.363200	 8.240493	 3.512953	 8.231882	
287	 14.133497	 10.141763	 13.984529	 10.159330	
288	 8.906988	 13.141817	 8.765769	 13.091248	
289	 14.261358	 10.220195	 14.133497	 10.141763	
290	 5.871320	 6.616609	 5.821815	 6.758204	
291	 3.883317	 4.777079	 3.857847	 4.924901	
292	 3.213924	 8.225777	 3.363200	 8.240493	
293	 14.172176	 9.996836	 14.133497	 10.141763	
294	 8.421000	 4.338674	 8.412952	 4.369641	
295	 3.381115	 8.091566	 3.512953	 8.231882	
296	 3.741122	 4.729325	 3.857847	 4.924901	
297	 13.032516	 10.494390	 13.109318	 10.623236	
298	 8.439516	 12.243207	 8.585642	 12.212117	
299	 10.282874	 11.986382	 10.298376	 11.842875	
300	 12.728177	 14.114126	 12.648802	 13.986849	
301	 3.996616	 4.678776	 4.085758	 4.827942	
302	 9.098230	 6.872566	 9.222118	 6.957135	
303	 3.721970	 5.227916	 3.861115	 5.171891	
304	 3.064159	 8.234176	 3.213924	 8.225777	
305	 8.297904	 4.252956	 8.281144	 4.284447	
306	 8.278251	 4.104249	 8.421582	 4.148476	
307	 5.439986	 7.106970	 5.540599	 7.218222	
308	 2.946086	 8.326690	 3.021303	 8.338495	
309	 2.849263	 8.212124	 2.905251	 8.182355	
310	 13.734831	 11.395691	 13.626197	 11.250343	
311	 12.878174	 14.113181	 12.817180	 13.993384	
312	 3.658340	 4.604237	 3.741122	 4.729325	
313	 6.925196	 9.688759	 7.088815	 9.706609	
314	 11.471322	 11.867262	 11.351089	 11.986320	
315	 14.268221	 9.881617	 14.172176	 9.996836	
